Class,Definition,Code,is subject of (requirement),Applicable Activity,Summary of Deficiency Tony Noticed,Requirement Applicability Reviewed,Related to Asset Class (Related to Asset Class (Parent Class Name)),Related to Asset Class (Parent Class Name)
floatation device,,,,,,No,https://www.notion.so/protective-equipment-a1209caa6cc548a28e5881261665623c,"https://www.notion.so/personal-floatation-device-PFD-877bbbcaedd743f48d1f9619e0103ffb, https://www.notion.so/life-ring-033f9bf7c8e6495dae8ad0f1e2f8126b, https://www.notion.so/life-jacket-d3984c9a53d147fe8155d6d6e9a94657"
life jacket,,,https://www.notion.so/CAN-CGSB-2-65-7-2007-Section-95438dc1d3ab48e1be281aa24a49a023,,,No,https://www.notion.so/floatation-device-0ad6f11db9e8423ca27cf7a77a621cd4,
life ring,,,https://www.notion.so/N-A-Youtube-Section-899500b99c27443e8758e04b4ccdcd11,,,No,https://www.notion.so/floatation-device-0ad6f11db9e8423ca27cf7a77a621cd4,
personal floatation device (PFD),,,https://www.notion.so/CAN-CGSB-65-11-M88-Section-0438d5208f9a4b40a85814bc670b11b2,,,No,https://www.notion.so/floatation-device-0ad6f11db9e8423ca27cf7a77a621cd4,
personal protective equipment (PPE),,,,,,No,https://www.notion.so/protective-equipment-a1209caa6cc548a28e5881261665623c,"https://www.notion.so/respiratory-PPE-5fb23ec85566491989670941ad9593ba, https://www.notion.so/electrical-hazard-PPE-4c0c89fa36c74e67ac70fd2b512e8490, https://www.notion.so/chemical-suit-025feed46e6e47b686172d5446426cdc"
chemical suit,,,https://www.notion.so/ASTM-F1052-14-Section-4-2-709de60004b44d8bb1b622a248d2b212,,,No,https://www.notion.so/personal-protective-equipment-PPE-8cec8953b3e741dab94b5086f1422bb9,
electrical hazard PPE,,,,,,No,https://www.notion.so/personal-protective-equipment-PPE-8cec8953b3e741dab94b5086f1422bb9,"https://www.notion.so/rubber-insulating-sleeves-043b3ee7f2be4dc09c36122eb8ed7786, https://www.notion.so/rubber-insulating-gloves-4ceeba85fd22426fb48479b1827dcbc3, https://www.notion.so/leather-protector-462fabb1e0264598bb7b2d34cd868e9d, https://www.notion.so/arc-rated-clothing-49f8a24eba9848158bcd3d521e6a145c"
arc-rated clothing,,,,,,No,https://www.notion.so/electrical-hazard-PPE-4c0c89fa36c74e67ac70fd2b512e8490,"https://www.notion.so/arc-rated-suit-jacket-a6a2bc64a02d495e846b2e8fd7e3b589, https://www.notion.so/arc-rated-suit-hood-1ae9e58c6834415d98451fad4b85a8c6, https://www.notion.so/arc-rated-pants-aee8bfb00a7348d48c79d21a5534d486"
arc-rated pants,,,,,,No,https://www.notion.so/arc-rated-clothing-49f8a24eba9848158bcd3d521e6a145c,
arc-rated suit hood,,,,,,No,https://www.notion.so/arc-rated-clothing-49f8a24eba9848158bcd3d521e6a145c,
arc-rated suit jacket,,,,,,No,https://www.notion.so/arc-rated-clothing-49f8a24eba9848158bcd3d521e6a145c,
leather protector,,,,,,No,https://www.notion.so/electrical-hazard-PPE-4c0c89fa36c74e67ac70fd2b512e8490,
rubber insulating gloves,,,"https://www.notion.so/ASTM-F1236-96-2012-Section-1910-137-c-2-iii-30fb14b97dac44fc98cf542b51dcedc3, https://www.notion.so/ASTM-F496-20-Section-bc3008dc34054841af8abedfad3efe1b",,,No,https://www.notion.so/electrical-hazard-PPE-4c0c89fa36c74e67ac70fd2b512e8490,
rubber insulating sleeves,,,"https://www.notion.so/ASTM-F1236-96-2012-Section-1910-137-c-2-iii-30fb14b97dac44fc98cf542b51dcedc3, https://www.notion.so/ASTM-F496-20-Section-bc3008dc34054841af8abedfad3efe1b",,,No,https://www.notion.so/electrical-hazard-PPE-4c0c89fa36c74e67ac70fd2b512e8490,
respiratory PPE,,,,,,No,https://www.notion.so/personal-protective-equipment-PPE-8cec8953b3e741dab94b5086f1422bb9,"https://www.notion.so/supplied-air-respirator-29aaceae073548338b5594882ca91a07, https://www.notion.so/self-contained-breathing-apparatus-SCBA-f705efefb80041cebfd4dbaddcbfc261, https://www.notion.so/respirator-mask-deed605e4da945beabb0d7c8974f8821, https://www.notion.so/powered-air-respirator-fefc35186caa4b1db2ca4b15686fc69e"
powered air respirator,,,,,,No,https://www.notion.so/respiratory-PPE-5fb23ec85566491989670941ad9593ba,
respirator mask,,,,,,No,https://www.notion.so/respiratory-PPE-5fb23ec85566491989670941ad9593ba,
self-contained breathing apparatus (SCBA),,,"https://www.notion.so/CSA-Z94-4-18-Section-11-3-3-1-1-b490d89c802d4876bf0b325cfc9de6f3, https://www.notion.so/CSA-Z94-4-18-Section-11-6-2-87bc62ed3fac4bdba7fa28d12345293d, https://www.notion.so/Section-6210a726e72d4c33a8bbd9e9cd1b2a09, https://www.notion.so/CSA-Z94-4-18-Section-11-5-5-2-9fd4cc30a9cd437a9812c31825a99c6b, https://www.notion.so/CSA-Z94-4-18-Section-11-3-3-1-3-85a7e6ab088e4a33ba4aefda0cb7a592, https://www.notion.so/Section-SCBA-13659af723be49bca9b04ddfbbf1350c, https://www.notion.so/CSA-339-18-Section-24-2-9-2-5940c62c55994706877c81abd1cfdae8, https://www.notion.so/CGA-C-6-Section-25e782b5f7924ff68e157ef1a093e69c, https://www.notion.so/CSA-339-18-Section-24-2-9-1-6cd4318011d441f8a16ee0cfd64874f5, https://www.notion.so/CSA-339-18-Section-24-2-9-3-dce55fd0b4c94f8ca326a9ba9cf2ff54, https://www.notion.so/CSA-339-18-Section-Table-29-9d760496988c4655831e896e55e2d5c8, https://www.notion.so/CGA-C-6-1-Section-e1df0f1b65944bf5a134b9feaa4f4480, https://www.notion.so/CGA-C-6-3-Section-7162835f8f204c709ca631ddf69d226b",,,No,https://www.notion.so/respiratory-PPE-5fb23ec85566491989670941ad9593ba,
supplied air respirator,,,,,,No,https://www.notion.so/respiratory-PPE-5fb23ec85566491989670941ad9593ba,
pressure relieving equipment,,,"https://www.notion.so/CSA-B149-6-20-Section-13-5-1-a263508afda54417a89ef92ea9aaca17, https://www.notion.so/CSA-B149-6-20-Section-13-7-196deb6a9c3b46e1a018106934157391",,,Yes,https://www.notion.so/protective-equipment-a1209caa6cc548a28e5881261665623c,
safety incident response equipment,,,,,,No,https://www.notion.so/safety-equipment-61fbc855887440bfb0b87ca52ed0a865,"https://www.notion.so/spill-kit-7b850b3ad84240f6bc14fd25362b2404, https://www.notion.so/first-aid-equipment-41fec5daec634d2fb824e223d616b254, https://www.notion.so/emergency-eyewash-or-shower-900b1d59ec3249ebbe6e3633349a1d24"
first-aid equipment,,,,,,No,https://www.notion.so/safety-incident-response-equipment-408d09955bf3425ca5229ca228664ecd,"https://www.notion.so/first-aid-station-2e24f653fb404291ad14e0fb3aad5ca7, https://www.notion.so/first-aid-room-888c2a32a09d43ccba7e01b4ceafe454, https://www.notion.so/first-aid-kit-or-box-8fccc0c3c20b45fc9ad646b104dedf68, https://www.notion.so/automated-external-defibrillator-AED-d698d38ee9364f2da9cabf772bb4adef"
automated external defibrillator (AED),,,https://www.notion.so/Government-of-Canada-Drugs-and-Medical-Devices-Monthly-Inspection-cc58c3b7f87141e1bfba92acdd49c687,,,No,https://www.notion.so/first-aid-equipment-41fec5daec634d2fb824e223d616b254,
first aid kit or box,,,,,,No,https://www.notion.so/first-aid-equipment-41fec5daec634d2fb824e223d616b254,
first aid room,,,,,,No,https://www.notion.so/first-aid-equipment-41fec5daec634d2fb824e223d616b254,
first aid station,,,"https://www.notion.so/Ontario-Regulation-1101-90-Section-8-1-25663e0e58ef478893663346fd6b9a53, https://www.notion.so/Ontario-Regulation-1101-90-Section-9-1-aeb40f0f4f8349de998c65c3063f533e, https://www.notion.so/Ontario-Regulation-1101-90-Section-10-1-0fa95f0c248b402699562145528403c3, https://www.notion.so/Ontario-Regulation-1101-90-Section-11-1-7b1377aea6274ba7a85543a0b43752d2, https://www.notion.so/Ontario-Regulation-1101-90-Section-1-1-1-6-Frequency-6dd3cb8ae09d4583a56b6170a1914b5b, https://www.notion.so/Ontario-Regulation-1101-90-Section-373448acde82425e8cd6bc0e46e39fb4, https://www.notion.so/Ontario-Regulation-1101-90-Section-1-6-89973628b42748b7b057a3ddb73a22e1",,,No,https://www.notion.so/first-aid-equipment-41fec5daec634d2fb824e223d616b254,
spill kit,,,https://www.notion.so/Ontario-Regulation-224-Section-SPILL-PREVENTION-AND-CONTINGENCY-PLANS-288abb434fc6437096f5c0327a7a79c5,,,No,https://www.notion.so/safety-incident-response-equipment-408d09955bf3425ca5229ca228664ecd,
storage tank or storage vessel,,ST,,,,No,https://www.notion.so/equipment-d39a00ef8e4c4761bc381d682c15832f,https://www.notion.so/fuel-tank-7260475a6c0a49ca85670e37ae82dfdc
fuel tank,,,,,,No,https://www.notion.so/storage-tank-or-storage-vessel-78a2883e101b48a3a96d213d132c7e6c,"https://www.notion.so/natural-gas-tank-c26fdc9cdb95445b91432fc8c92090ae, https://www.notion.so/gasoline-tank-f856fad4fe5b47b59b332b663f272924, https://www.notion.so/diesel-tank-228f728d3d59413b8676a7717838fdcc"
diesel tank,,,,,,No,https://www.notion.so/fuel-tank-7260475a6c0a49ca85670e37ae82dfdc,
gasoline tank,,,,,,No,https://www.notion.so/fuel-tank-7260475a6c0a49ca85670e37ae82dfdc,
natural gas tank,,,,,,No,https://www.notion.so/fuel-tank-7260475a6c0a49ca85670e37ae82dfdc,
gaseous fuel handling equipment,,,https://www.notion.so/Ontario-Regulation-212-01-Section-15-be20f451dbc64a83b3ec256b0e18c9f1,,,No,https://www.notion.so/equipment-d39a00ef8e4c4761bc381d682c15832f,
