Class,Definition,Code,is subject of (requirement),Applicable Activity,Summary of Deficiency Tony Noticed,Requirement Applicability Reviewed,Related to Asset Class (Related to Asset Class (Parent Class Name)),Related to Asset Class (Parent Class Name)
equipment,,,,,,No,,"https://www.notion.so/storage-tank-or-storage-vessel-78a2883e101b48a3a96d213d132c7e6c, https://www.notion.so/boiler-3d186d6bc9cb4c70987f7e85f2ff1871, https://www.notion.so/Defined-pressure-vessel-4b7cb9e58d89436c9bea55d7f978b997, https://www.notion.so/portable-equipment-or-tool-572410de200b49eb8aa1b4fe7591b4f2, https://www.notion.so/lifting-equipment-21dcb34baa7f4967b0a38f9e8aec639f, https://www.notion.so/generator-d624143704444ed7af19295ec6cd7ad8, https://www.notion.so/electrical-distribution-system-equipment-4d8277207c7145289da9c7ed69082e62, https://www.notion.so/backflow-preventer-820677d0c7e44520a83d328e2e371d97, https://www.notion.so/drip-trap-53258c3739b64abd9467cb1b73590838, https://www.notion.so/gaseous-fuel-handling-equipment-b67f88c1f72c4d94939f7701a64f0065, https://www.notion.so/safety-equipment-61fbc855887440bfb0b87ca52ed0a865, https://www.notion.so/compressor-e99402a5b7fb42259fd9ee919bbad33d"
system,,,,,,No,,https://www.notion.so/piping-system-315f3959781f42bd81154d50fa751f1b
role,,,,,,No,,https://www.notion.so/analyzer-role-23db0169fc6a44f4acb796da5f79f23e
analyzer role,,ANL,,,,No,https://www.notion.so/role-674e5d02f5b54a5d84a55e033544fa49,
piping system,,,https://www.notion.so/Ontario-Regulation-220-01-Code-Adoption-Document-Section-1-37-d-f6da1aba0c3c4baeaac7190ee8a2f4c0,,,No,https://www.notion.so/system-7e46c147f9844c34ade1d6faa29f43eb,
backflow preventer,,,"https://www.notion.so/Toronto-Municipal-Code-851-Section-851-8-D-11-c-7ada0492d8e44c5592e51af7c3305efb, https://www.notion.so/CSA-B64-10-17-Section-4-3-1-1270dea63c5e4bc28eaf04ecea7614c5, https://www.notion.so/AWWA-Backflow-Prevention-and-Cross-Connection-Control-Section-63e0f04e11024c6e906563b47e4ad29f, https://www.notion.so/CSA-B64-10-17-Section-8-3f53efe451bc4a82bcd474ccf8fce72e",,,No,https://www.notion.so/equipment-d39a00ef8e4c4761bc381d682c15832f,
drip trap,,DT,"https://www.notion.so/Ontario-Regulation-212-01-Section-15-be20f451dbc64a83b3ec256b0e18c9f1, https://www.notion.so/CSA-B149-6-20-Section-13-8-afcdf82b83e64d509fdabe6307c517a0",,,No,https://www.notion.so/equipment-d39a00ef8e4c4761bc381d682c15832f,https://www.notion.so/continuous-flow-type-drip-trap-bf25ca222cf54aa089c2970e09b53c82
continuous flow type drip trap,,,,,,No,https://www.notion.so/drip-trap-53258c3739b64abd9467cb1b73590838,
electrical distribution system equipment,,,,,,No,https://www.notion.so/equipment-d39a00ef8e4c4761bc381d682c15832f,https://www.notion.so/medium-voltage-MV-equipment-e1ac0af384bf43f79c451e7cf4548d11
medium-voltage (MV) equipment,,,,,,No,https://www.notion.so/electrical-distribution-system-equipment-4d8277207c7145289da9c7ed69082e62,
generator,,GEN,,,,No,https://www.notion.so/equipment-d39a00ef8e4c4761bc381d682c15832f,"https://www.notion.so/natural-gas-generator-9e4aa26cf9df4ca4afe5b2850b676b7e, https://www.notion.so/diesel-gas-bi-fuel-generator-7dac20e2ae85430e9c07b6ec12950036, https://www.notion.so/diesel-generator-1f2356ecf8e34f1a81f4bff1c3c3a45b"
diesel generator,,,"https://www.notion.so/CSA-C282-19-Section-d4be86fcee474db8a2af34af3eb522e1, https://www.notion.so/CSA-C282-15-Section-241e3aad99204173b048e4a85dca6530, https://www.notion.so/CSA-C282-15-Section-31decc3e68ee4a3d856287ba6cfc561f, https://www.notion.so/CSA-C282-15-Section-9fbb62aee57d4501a7cb24cbcddfd71b, https://www.notion.so/National-Fire-Code-of-Canada-2015-Section-6-5-1-5-01ba5fd9e81f46c78363d59604064d7f, https://www.notion.so/National-Fire-Code-of-Canada-2015-Section-A-6-5-1-5-1-228306cc8f48494c915041e62a4479fb",,,No,https://www.notion.so/generator-d624143704444ed7af19295ec6cd7ad8,
diesel-gas bi-fuel generator,,,,,,No,https://www.notion.so/generator-d624143704444ed7af19295ec6cd7ad8,
natural gas generator,,,,,,No,https://www.notion.so/generator-d624143704444ed7af19295ec6cd7ad8,
lifting equipment,,,,,,No,https://www.notion.so/equipment-d39a00ef8e4c4761bc381d682c15832f,"https://www.notion.so/lifting-equipment-part-5d25af8fa68b46c6879784429cd746dd, https://www.notion.so/lifting-device-b707577c7ffa483785649a67533cc004, https://www.notion.so/elevator-56c048cdefa947dbba5d327d093dcac0"
elevator,,,"https://www.notion.so/TSSA-2000-Ontario-Regulation-209-01-Section-32-b94ba6d5a1a541d4835848258714052d, https://www.notion.so/CSA-B44-16-Section-8-6-1-7-2ef1b621bcbf47d6a7eb1f8108c462d8, https://www.notion.so/Ontario-Regulation-209-01-Section-34-5c91241ae7c2452cac8a9c5158671935, https://www.notion.so/CSA-B44-16-Section-Table-N-1-1696734b108940f8b72cb2ca5432d896, https://www.notion.so/CSA-B44-16-Section-8-6-1-4-1-86a3b3f803c24f45a971b637f950688f",,,No,https://www.notion.so/lifting-equipment-21dcb34baa7f4967b0a38f9e8aec639f,"https://www.notion.so/passenger-elevator-b959f69c5eae4a19aecceb5dd33dc605, https://www.notion.so/freight-elevator-97db908ca2604760950b2f50c5ca0019"
freight elevator,,,,,,No,https://www.notion.so/elevator-56c048cdefa947dbba5d327d093dcac0,
passenger elevator,,,,,,No,https://www.notion.so/elevator-56c048cdefa947dbba5d327d093dcac0,
lifting device,,,,,,No,https://www.notion.so/lifting-equipment-21dcb34baa7f4967b0a38f9e8aec639f,"https://www.notion.so/mobile-or-portable-crane-7215f0de0aaa42a7a9cb0d9b00e9a205, https://www.notion.so/forklift-c8f9f61245874c79b021444f950c804f, https://www.notion.so/fixed-crane-7b50cdbb21e24ff49e1054bac3a6dd60, https://www.notion.so/man-lift-984d27c22a124110b0aec6db691f9cac"
fixed crane,,,"https://www.notion.so/Ontario-Regulation-851-90-Section-51-1-b-4383725d390e44519d1894276d64710d, https://www.notion.so/CSA-B167-16-Section-6-4-2-e718332fd61241d183067953feca4f25, https://www.notion.so/CSA-B167-16-Section-6-4-1-a43259f529d542098ab47625bf5edb71, https://www.notion.so/CSA-B167-16-Section-6-5-2-f091049861c941b79d38dc77967cead0",,,No,https://www.notion.so/lifting-device-b707577c7ffa483785649a67533cc004,"https://www.notion.so/overhead-bridge-crane-9ae0d66813214654a57bdcd03f721c45, https://www.notion.so/fixed-jib-crane-388a03e87b5a49bdb78e5fa233f4ac32, https://www.notion.so/fixed-gantry-crane-c1e62785c8d34588aeffbcaa180078ec, https://www.notion.so/fixed-davit-crane-30f3788ab0aa4db3a2eda82abcba4c51"
fixed davit crane,,,,,,No,https://www.notion.so/fixed-crane-7b50cdbb21e24ff49e1054bac3a6dd60,
fixed gantry crane,,,,,,No,https://www.notion.so/fixed-crane-7b50cdbb21e24ff49e1054bac3a6dd60,https://www.notion.so/fixed-a-frame-crane-3b73ce327a1240f181571e4f502d3ca7
fixed a-frame crane,,,,,,No,https://www.notion.so/fixed-gantry-crane-c1e62785c8d34588aeffbcaa180078ec,
fixed jib crane,,,,,,No,https://www.notion.so/fixed-crane-7b50cdbb21e24ff49e1054bac3a6dd60,
overhead bridge crane,,,,,,No,https://www.notion.so/fixed-crane-7b50cdbb21e24ff49e1054bac3a6dd60,
forklift,,,"https://www.notion.so/Ontario-Regulation-851-90-Section-51-1-b-66b52dd8077b4725bc183b998d66c207, https://www.notion.so/CSA-B335-15-Section-8-4-2-4ea54cdcaa254e67b2bfd5f7554a17d0, https://www.notion.so/CSA-B335-15-Section-8-2-3-97d4c71906a6464a90168d51011349cc",,,No,https://www.notion.so/lifting-device-b707577c7ffa483785649a67533cc004,
man lift,,,"https://www.notion.so/TSSA-Elevating-Devices-Code-Adoption-Document-Amendment-277-19-May-3-2019-Section-4-3-b9ac309f4ff24e57b22d5773935e69f3, https://www.notion.so/CSA-B354-1-04-Section-5-3-4-d09916b65fac4f1186b54e4ef5b54036, https://www.notion.so/CSA-B354-1-04-Section-5-3-3-378a4f76312a40a28afe54f93e48e5d9, https://www.notion.so/CSA-B311-02-Section-Appendix-A-041abdc4b40f469f9dc83da1264f19ac, https://www.notion.so/CSA-B311-M1979-Section-5-2-2-3-3-1-3-frequency-7fe410026aec481fb174aceaacac3eb9, https://www.notion.so/CSA-B311-M1979-Section-7-6-8-2-3-1-3-frequency-c9711b0bdade480b963efb2fc9cb9d9b, https://www.notion.so/CSA-B311-1984-R2002-Section-Appendix-C2-8cfc82a567d9411d9c76e4eedc1d4f0f, https://www.notion.so/CSA-B354-1-04-Section-5-3-2-ece1881b7f454457a51e059906e658e6, https://www.notion.so/TSSA-Elevating-Devices-Code-Adoption-Document-Amendment-277-19-May-3-2019-Section-8-6-1-7-b23827458f7346ea881f8ae586f14c6a",,,No,https://www.notion.so/lifting-device-b707577c7ffa483785649a67533cc004,"https://www.notion.so/scissor-lift-efa0a84f9ba44666b3250f8f119d49f5, https://www.notion.so/boom-type-lift-a15637d680624149889a4834ab643751"
boom-type lift,,,,,,No,https://www.notion.so/man-lift-984d27c22a124110b0aec6db691f9cac,https://www.notion.so/telescoping-boom-lift-8302a4d59ad749f0887b316fd82cdc28
telescoping boom lift,,,,,,No,https://www.notion.so/boom-type-lift-a15637d680624149889a4834ab643751,
scissor lift,,,,,,No,https://www.notion.so/man-lift-984d27c22a124110b0aec6db691f9cac,
mobile or portable crane,,,,,,No,https://www.notion.so/lifting-device-b707577c7ffa483785649a67533cc004,"https://www.notion.so/tower-crane-f11a91f6106e41258db63ee3e7e41423, https://www.notion.so/telescopic-crane-d7044d8b5a8e4170a513de09705504f4, https://www.notion.so/portable-gantry-crane-7072d09ab19f42f5bb054f78457986ba, https://www.notion.so/portable-davit-crane-fa979bd52b2a402bac0b6a4fb872a239, https://www.notion.so/articulating-arm-crane-1bdb39f049384b4ebfab0383cae16861"
articulating arm crane,,,,,,No,https://www.notion.so/mobile-or-portable-crane-7215f0de0aaa42a7a9cb0d9b00e9a205,
portable davit crane,,,,,,No,https://www.notion.so/mobile-or-portable-crane-7215f0de0aaa42a7a9cb0d9b00e9a205,
portable gantry crane,,,,,,No,https://www.notion.so/mobile-or-portable-crane-7215f0de0aaa42a7a9cb0d9b00e9a205,
telescopic crane,,,,,,No,https://www.notion.so/mobile-or-portable-crane-7215f0de0aaa42a7a9cb0d9b00e9a205,
tower crane,,,,,,No,https://www.notion.so/mobile-or-portable-crane-7215f0de0aaa42a7a9cb0d9b00e9a205,
lifting equipment part,,,,,,No,https://www.notion.so/lifting-equipment-21dcb34baa7f4967b0a38f9e8aec639f,"https://www.notion.so/hoist-704b49f311e4431a8f4cf701e42fe024, https://www.notion.so/sling-602f9138b2d84c3b9d0054fb164fe852"
